6E1703,800688
AK5233,750146
KA946,780185
6E965,8007B3
AK5642,750286
MI347,76B4ED
SL181,883291
TV9917,780DF4
CI157,899022
XQ7780,4BCCAF
IR719,7324A6
9W389,800AFA
WE132,885303
EY257,8963AA
VJ783,888150
TK1297,4BAAD2
JL7,86E3EC
AA181,AB0D15
FD3602,880849
CZ3702,780FC6
EK309,8963EC
MH2621,75031A
HU7142,7811EE
MU9707,780C60
5J793,75829D
KE951,71BD74
JL860,861F88
MF8378,780662
CA1354,78115E
6E464,800718
CA4338,780703
NH646,86837C
TK2453,4BA8F9
KE36,71C209
CA1774,798031
SQ181,76CF2A
G9204,896466
CX421,7801CC
EK220,89617E
MU591,781230
PC3010,4BA747
SV1108,71008C
AK526,750463
AI131,80073A
EK945,8960D5
VZ940,885964
EK541,89630D
WY346,70C0C8
KA803,780179
MI516,76B4EF
JL515,8686B2
G8802,8007B6
TG612,885046
AQ1098,780E8A
QR840,06A07B
NH376,868B50
JL785,861BD2
FZ831,8963AD
JD472,781095
QR243,06A090
CV632,4D0103
ZR6701,152C2A
SV566,710139
SQ878,76CE91
PR2814,758344
HD23,8745FF
J4636,60009D
TK97,4BA933
HO1660,780CC3
AE1856,8990F5
HU7517,780461
CA4114,7808CC
SU1642,424297
FD403,880447
UA803,AABD7F
NE171,010141
EK901,89617D
LY353,73806E
9W271,8007C0
3U8775,780096
I5535,800B8C
BL227,888045
MU5224,780721
6E495,800C37
J2807,600803
TK2826,4BA8F5
SC1187,781170
FZ847,8963B0
VN414,88805A
HX658,780A6D
LY319,738052
VN1184,88808B
CZ3514,780672
ZF773,424237
ZA485,70E03B
HY683,507C43
6E918,80071B
MH786,750282
WE684,885306
OZ339,71BF92
JD5553,7804D7
Q2550,05A054
GF561,894061
B29203,51009C
CZ6520,780AF2
VJ852,888137
QR221,06A08A
CZ3463,780012
CZ3688,780E41
EY287,8961E8
EK1,8960ED
EK545,896054
BL160,8880C4
B8275,780B4D
BR808,89904F
GF249,89402D
RJ643,74072D
TG974,885152
MF8474,7805E0
BR138,899076
IT201,89902D
AI889,800414
NH555,86D921
DD7105,881058
BC765,8681B7
AA281,AB3856
SG272,8003AD
DD8307,881059
HY22,507C3D
BR181,89904E
CI731,8990A2
NH171,86D266
CZ3560,780488
RY8939,78061D
IB3321,3430C4
EK185,896219
NH554,86D1DE
GK350,84B5AC
AI126,8004DF
BC714,8681AE
XY402,424199
TK589,4BAB23
QR8444,06A1E6
JT810,8A03F8
CA167,780C44
3U8365,780733
LY385,73806D
ZA425,70E058
AC29,C01A7D
BR8,899080
HO1149,780F09
6E212,80068F
FD636,88084A
CZ6899,79A053
7L634,42441F
CA4532,780635
JD5128,78042B
HY301,400187
NH1181,85DB54
6E345,800B72
SG185,800BCC
SV1021,710121
MU582,7808E6
CA1025,780C5D
UA180,AA6BA4
HU7508,78058E
MF8263,7807A1
G9542,8962D0
7C1602,71C034
CK222,780630
EK855,89610B
CZ6451,798040
6E181,8008C2
JL646,862D50
8L9866,780433
JL374,851CEC
SQ997,76CE64
VJ941,8880C8
NH252,86D2CC
6E509,800686
Z2885,758528
ZO3015,7368E2
PC1936,4B8E15
CA1452,780492
AK5104,7503EC
HU6291,780B60
JL692,85120E
PR654,758308
VN530,888138
NH217,86E844
CI7523,8991BA
G9337,8963BF
TK7270,4BCC46
9W9,800B65
GS7978,7810C6
KN5926,7811B3
DR6557,780FA2
PC8390,4B8E19
IR326,7324C1
9W759,8007C5
CA4176,780800
PG947,884203
PS722,5082C7
QS1287,49D369
LY563,738065
WE286,885314
SG192,800B82
LH715,3C6705
JL741,861F66
CA1860,780B5D
DI7408,40742D
BC590,8681AA
HO1223,781056
TK7260,4BA8D4
VN231,888027
WY226,70C0C1
EK571,89611A
FZ918,8964D2
6E165,80054D
AA127,AB0969
6S502,424790
VN594,8880AC
CA1617,780D81
QF127,7C4836
JW103,841FBC
CZ3524,780ED0
TK2043,4BAA79
CA1253,7812E0
ZH9671,7807A8
SU1138,424333
MU719,780502
SC8829,780DE8
QR265,06A091
BI381,895079
SZ256,515313
3U8953,780CE9
EK348,8963E3
QR1367,06A0B0
9C8565,780CE3
QR295,06A09E
EY215,89633A
Z21265,7583E4
FM9505,780BA8
6E236,800719
TK709,4BA9D3
TK7149,4BCC45
JL45,868056
CI862,8990AB
9C8672,780BC9
U6525,42441B
UA896,AAA125
KE82,71BE21
MU2068,78078D
DL296,A16FF1
GK506,8466A0
AK1502,75015A
EK927,89631A
PS86,5081CF
CZ3733,780DAB
8L9780,78101B
9C8928,780552
5J989,758225
LY2371,738069
G9125,8964E8
6E443,80064F
VN600,8880AB
MU5379,79A03E
XY501,424792
PG262,884204
KE923,71BF20
MM455,86CEDF
JL628,861B28
SM456,0100E7
MU2368,780B7A
3U8256,78050F
NS3527,780F61
CX530,78018E
LJ238,71BD58
CZ3415,780770
EU2251,780353
ZH9424,7808B3
XQ9128,4BCDCF
MU2154,7809BE
EY19,896461
GS7525,780B32
VZ401,885961
SL8031,883029
SV841,7103D6
EY333,896255
DR5306,78001D
9W2369,8001D3
MU5705,78119C
FX5277,AB87C8
6E874,8005F6
EY213,896386
QR125,06A030
5X2,A77F26
6E6104,8005DD
EK757,89631C
FH9241,4B9903
NH576,862DF4
HD78,841A6C
UL102,770591
KE38,71C041
CA1557,7805B0
TK879,4BB1E1
7G46,841EFE
W561,7335B1
I5129,800C29
KL898,485345
MH755,75021C
FD3091,880443
IB6888,34510A
MU235,78008B
XG3718,3C0A54
IT372,899029
TG404,885102
HO1180,780F35
BL583,8880CB
OZ541,71BE26
6E311,800626
QR629,06A0B7
G9829,896337
QF97,7C5324
TK827,4BAA6A
6E973,800C01
EK183,8964A0
CX406,78012B
JH211,8413B8
TV6027,7806D9
TR563,76D036
BK2949,780D58
JL5,867F68
S24687,800173
MH751,750210
QF79,7C531D
CA1620,780911
HU7620,781003
CZ3436,79A02C
6J90,86D237
CN7170,780687
KN5216,781237
MF8399,7812F1
NH706,85D42C
TK690,4BAA88
ME215,50005A
EK157,896216
AK512,7502B7
EY247,89627B
QR657,06A096
NH817,86D98E
BA38,406F78
SC4693,780B06
SG153,800BCA
CI201,8991B4
FZ221,896378
9C8662,780E42
FX193,AC2D32
CZ3911,780E09
AF275,3965AF
AI506,800C08
MF8528,78120A
6E75,800469
EK109,8960D4
A4201,155BF7
JL3107,8518F2
KA249,7801B1
EY441,896160
6E5126,800595
CA1423,7BB0DC
EK73,896182
Z92106,68323E
JQ11,7C6BBC
UK812,800C0C
MU2215,7802A2
FZ709,896335
6E844,800466
Y87537,781092
AE1858,8991A6
SU1702,424567
FM9422,7BE011
5X24,A771A8
JH205,84174C
CZ612,78010E
MU5182,7800F5
KE692,71BE33
ZH9903,7BB12B
OZ352,71BF89
ZH9610,780568
JL2235,84BB96
NH579,85CD04
HU7120,78097A
AC5,C038A7
SL708,883299
CA8285,780FDC
HO1267,780D90
SL806,883295
QR27,06A0BE
HU7577,7804A0
G9522,8963CB
CA4172,78076F
AI430,800734
DP114,4245A8
S73355,4240D0
AI21,8005EB
RJ6856,740729
UL120,77044E
IO890,155BF3
DF271,780AFA
TK6455,4BA9F6
TK476,4BAA0B
UO1851,780A92
CA1215,780CBE
LY393,738051
6E608,800629
9W302,8007C3
UK882,800C64
RS764,71BA12
FM9359,78057B
SV1394,7100A7
FR3132,4CA80D
6S301,710029
MF8441,780684
TK7422,4BA8C8
MU5110,780601
WY282,70C054
AI729,80052E
AK127,750419
9W10,800B15
MF8032,7808D5
SC4883,78111E
AI806,80047A
MH785,7502B1
UO1331,780A83
7C1307,71C263
AK264,750459
PC2550,4BB848
9C8644,780D74
FD357,880846
5J850,75816E
QR965,06A0A7
FZ856,896379
DL167,A0F7E2
VN232,88804B
UO713,780AA0
AK529,750307
CZ336,780644
GK404,84106C
CI104,89901E
9C8889,780AD9
CA4162,7808A5
CA4130,780FE0
MU226,780583
CZ6624,7805FA
CA4190,781159
FZ836,8963B2
NH65,86754E
HX337,780A9F
HU7897,781000
QR571,06A0A5
KA627,780A7D
CA140,780CBF
TK809,4BAA03
ID6897,8A0637
KU413,706059
VN1264,88804E
SU221,4249FC
CA4362,7802D4
GA984,8A003A
6E591,800C6A
AZ787,4CA87D
BR6,8990DA
VJ453,8880B6
OD581,75041B
DP163,4243E9
EY301,8961C1
HX772,780A12
6E6966,503C73
UL122,770590
VJ275,888127
WY236,70C0CC
MF8173,7812C0
MU7145,780E3A
JL2437,84C236
SU5437,4240E1
MF8426,7802E9
FD5420,88084F
MI606,76B4E3
HU6122,780D10
5X38,A2F13A
VJ731,8880B0
PC3161,4BA74A
SG972,8007EF
EK657,896310
SQ912,76CE50
HO1367,78042F
TK2252,4BA9A9
NH7,869144
AA61,AAD213
PK325,760984
JQ25,7C6BC3
NH177,86E800
CA1480,78057F
CA1056,780D8F
PR2543,758203
QR438,06A01B
QR273,06A138
SV459,71012F
W63593,47340A
G9530,896383
MH730,750214
SV808,710063
MU545,78009D
AC7,C01A61
HX6682,780A7A
BR282,89904A
KA847,780186
PS716,5082C8
KE907,71BF84
LY337,738063
NX5,780EC2
TK2613,4BA8E7
CI834,89901F
6E748,503C72
NS3268,7808D4
MU5491,78055B
C8878,4D0140
5Y2678,A62B2F
3U8885,79A01E
6E139,800C6C
UA32,A254D6
6E238,8007CC
NX610,780343
8M337,704946
CA9615,780010
KC141,4844A2
CA4164,78096F
GA860,8A03C1
PO766,A62EE6
MU9646,780B37
MH788,75027B
DL181,A17B16
CZ3204,780748
PR1853,758337
QR167,06A0B4
PG224,88420B
SG876,8007F0
9W585,800707
RS751,71C255
SL101,8832B0
DD7503,881042
SV1290,71007D
MU2983,780D7A
QR1379,06A019
EK87,896198
QR17,06A0A8
ZH9214,780BF1
OD1605,750406
MU2532,781233
CZ3690,78074B
FD244,880445
DL189,ABBEE3
8Q171,4BBC59
OS860,44006E
KA380,78012D
CA1471,780781
AI543,80057C
3U8870,780C2B
HU7366,78129D
PC2081,4B8750
S73325,424558
JL258,851BFE
QR39,06A149
OQ2383,78050A
SU506,4243FC
CZ6238,7804C5
GS6574,780D31
XQ7526,4BCDE4
SU1246,155C09
ZH9211,78050B
SV1230,710117
CA4364,780D84
CZ8465,780015
KE122,71BE13
MF8402,780C80
9W971,800C53
QR279,06A153
LJ602,71BF33
HU7190,78105B
PK203,760996
EY650,8961EB
CZ320,781146
CZ3539,7808AF
CZ6367,7805F8
U6620,4242B2
TG413,88001D
PN6212,780BA6
NX162,780345
6E3175,8007B0
MU503,780DE4
9C8554,780714
9W903,800AFB
5J704,75806F
CX750,78018F
KE867,71BD50
KE18,71BE11
MU294,780934
QF9,7C4927
9U173,504E44
DD8716,881052
AF382,394A15
TK2408,4BAA6D
CZ6080,7BB0BC
UA888,A1C7C1
FV5501,4242D8
TK2674,4BA904
GJ8764,780C8A
VN1577,888055
SV780,710061
KC224,48433A
CZ6979,78130A
WE5,88530B
HD84,861AFE
6E477,800468
H9890,70AA79
JL793,867512
VN121,88809E
KC976,4840DE
OZ221,71BF32
MU2219,78048B
SV1103,71005C
IK302,4243F4
FM9368,780F97
JT2630,8A06B4
CI512,8991A1
VN1203,8880D5
WY276,70C0C2
AK856,750466
AI676,80057B
CA1336,7804EA
DP188,4243E8
KN2959,7BB0B3
OZ231,71C284
FZ658,8962BD
EK151,896484
SV431,71008D
MU590,780560
VS251,406D4C
PR526,75823E
DD3118,881050
MI631,76CD87
6E568,800BC0
UA881,A1EDE9
CA4186,780782
KA207,780A41
Z92110,68321F
DF530,7811E8
JL874,8511EC
QR127,06A0BD
7C1802,71C087
VJ134,4B9848
MF8308,78110E
CO712,4C8067
VJ211,888134
JL781,867534
CZ3102,781148
HY637,507C40
FM9457,78069F
PG247,88420A
PC2571,4B9068
BC153,8681B3
QR1347,06A026
KC405,4850A7
SG705,800638
IR727,732541
RS521,71C280
MH2806,75021B
6E287,8007CB
ZH9747,7802CE
QR427,06A089
SK984,45AC41
AK5130,75033C
CX582,78016D
EK625,8963E0
S7261,4243CC
SU291,4242A4
ZA4459,70E05A
XT251,8A01C9
MU2647,780D1E
6E6936,800C70
EK15,89618D
G8319,800C79
BR869,8990D6
VJ5214,888151
CX766,78023E
NX885,78033F
TK7330,4BCC6C
QR8970,06A1A1
QR1128,06A1C4
SC4752,7812D6
DD7505,881057
Z2324,7581F7
TK20,4BA954
MF8233,780313
FM9389,780584
8Q11,4BBC4B
QR615,06A0BF
SU1636,424317
CZ622,780CB0
JW825,846078
CA1470,780063
KA490,7801D4
LH699,3C666A
6E342,800C0F
ZH9102,7807AB
HX68,78920F
LY2651,738060
QR217,06A022
FD3070,880845
9W358,80065F
JL261,851C20
HD133,846978
TK2839,4BAAA9
EU2214,780D5F
LH721,3C4B28
CZ3554,7809FC
DP111,4243CA
CZ3047,780CCB
S7832,424583
CA935,780AD1
KA760,7801AD
HX22,780A24
CZ6760,79A070
PS711,50836B
KE695,71BF14
LY361,73806F
CZ3900,7808FB
VJ741,5110D4
CZ6155,7807C1
SV1659,710082
SU2136,42428D
CA1406,780CB7
6E879,800BA7
PC2731,4BB847
QR183,06A0C0
OZ101,71BE34
CZ3039,780082
HU7940,780417
UK830,800B71
SV1441,7100AB
MU5564,79A04D
EK527,89630C
HO1257,7806E4
5J994,758322
HU448,780E2F
JL17,86D952
TK2010,4BAAD3
EK613,8960CD
VN921,88808F
MU7834,780740
CI782,89901A
PR658,7582F4
PR336,758307
SU6119,4243BF
SG438,80074D
JD5520,780114
CA1270,7804BF
6E3834,800B3A
EY641,896429
EY278,8962E3
HU7279,7806E2
GX8959,780777
MU2546,780F2F
FM816,7800F3
EK55,8963F2
DL199,A0F7C1
F3102,71012A
CZ3061,79A00E
NX2,780EC3
S71025,42424D
NH974,861E4E
SU1713,424574
9C8895,7805D1
TK7210,4BAA0D
MF837,7810B3
UW9943,79800E
LJ82,71BF34
9W2529,8001CE
HX254,780AAF
GK106,847C18
KQ205,04C14B
CI7916,8990AD
MU5042,781104
SG152,4BD154
ZH9711,780B1D
HU7212,7809DC
NA22,010140
NH1713,862A60
AE1817,899046
CZ6515,781099
VJ132,888141
SG473,80070E
MF8350,781208
CZ6571,7809EA
MU5454,78078B
HU7078,780C48
NX198,780D4A
ZH9972,780041
3U8900,780953
TK784,4BB1E2
OM302,4CA350
QZ521,8A036B
MU292,780F48
KC863,484354
TK763,4BA948
VJ164,88813C
QR239,06A0DC
QR611,06A0AA
6E627,800AF4
K4823,AA01A2
CZ6809,780775
SC8796,780295
KE826,71BF17
T5551,601849
NH959,86D572
JL2173,84C258
KE24,71C042
CA1837,780490
CZ6326,780B9F
SC4898,780F6A
CA901,780527
KK1221,4B8692
HU7148,7812A1
6E943,80051A
6E346,800C11
ZE623,71C057
CZ3010,780670
YE5021,508380
CA1810,78059F
QR67,06A1BE
FD3217,880C47
BA10,405BFD
S24182,80016E
KE742,71C223
CZ378,780B13
AK42,7501E6
NS3321,780E90
HO1335,780EE4
FZ157,8962B5
B8269,7809C4
AI581,80051F
NH254,86752C
KE905,71BE42
CI261,8991A5
PC2402,4B8E01
7L75,4243FA
TW212,71C098
3U8695,780B86
CX367,780A0D
KN5825,780F18
KE771,71BF06
QR1387,06A04B
PC2814,4B85D0
JL555,862D72
OQ2389,780624
MU2007,7802A3
MU2263,780457
SL784,8832A8
AK540,7503B2
BC717,8681AB
CI642,8991B0
TK7600,4BCC29
UK747,800B27
SG623,800C2A
H59542,4CACB3
FD571,88045A
LY573,738054
BC12,8681BE
HU7439,7800D8
MU7368,780FE8
CZ6661,780999
SC1175,780BE9
NH91,8674C6
CZ8298,781031
KE810,71C273
LY381,738050
MF8275,7805C2
K6959,70E048
JL828,86E780
QR416,06A0B6
KE20,71C008
9C8579,780F2C
JL2905,84B79C
MU9605,781234
EK621,8963D8
AI429,800415
W63985,47340E
JL2185,84BB74
NH5,868E9E
LY331,73806B
UA872,A219EA
KE935,71BD98
KA892,780A82
CX332,7801CB
CA4580,78103D
QR57,06A0E1
CZ6754,79A06F
MF8303,78057C
WE273,885308
JL2503,8511CA
6E797,800BB6
S24056,80048A
BR5,8990D8
MH2614,75021F
DR5325,780D4C
QR673,06A070
6E315,800B36
XR193,4BD149
VJ809,88811C
AI542,8004D5
PC2521,4B84B0
MU5602,79A05E
CZ6329,7807C3
EK312,896118
9C8749,780DC6
OZ3861,71BE16
HD120,841E00
XY579,42417F
FZ55,8963BA
8L821,78101D
EK139,896199
TG416,885179
9C8860,780B57
PK897,7609A7
VJ803,888097
OD225,750400
AK583,75027E
5X49,A3F579
KE882,71BD87
TW9325,71C294
PG709,8840F6
CZ390,780B11
GF13,894070
TK7082,4BCC4A
HD24,842194
JL321,868DFC
JL572,85153C
PR2838,758087
UT487,42460C
EK583,8960DD
KE604,71BD31
EK45,896197
EK77,896477
SU263,42454D
EY7,896299
CA1430,780292
EY430,89612C
EY83,8960C6
PC2790,4B8E0F
KE704,71BD53
WY823,70C0C4
UA198,A2A3D2
GS7565,780806
PC1933,4B85B0
VJ901,8880C2
WY253,70C0C7
TR427,76D24B
PC2137,4BB84F
TK2648,4BAAA7
FD3131,880842
G8140,8007E5
CZ3086,7800FD
MU2338,780094
S24057,80016D
CI134,8991B3
AI505,800BE6
HU7131,781001
CZ3072,7804A9
FZ745,8962BA
CZ3193,780CCE
TK7060,4BA8E2
FM9310,780D93
SG480,800BDE
PR682,75831E
SC1170,780F68
UK995,800BD1
D7502,750299
OZ712,71BC18
EY37,896342
9P283,744283
QF29,7C5323
FD567,880852
CZ373,78010C
WY242,70C0F7
XY125,424793
UL178,773644
EY51,8962E2
OZ201,71BE25
CZ358,78062D
QR3,06A142
SV1022,71005E
QR727,06A106
VN233,88808D
NH666,867570
KE54,71BE37
UK976,800B25
SG867,800BDC
JU817,4C01E1
EK49,8960EC
MU502,7809B8
JL11,86DD08
PC2430,4B842F
HU7838,780840
KU167,706051
TG634,880044
9W594,800C4D
3K509,76AA61
CZ3081,7807C6
QR8157,06A0DE
AK205,750467
ZH9381,78050D
FD3185,880855
RB532,778565
WY337,70C0A2
SV171,710071
MU5473,7809C1
OD222,75041D
NH175,867F60
6E327,800B58
WY672,70C0A7
DD7407,881047
UA850,AAD012
DL582,A97655
9H8397,7BB12F
CX930,780AB8
6E245,800B74
FZ571,8962C0
FD752,88084D
OD633,7502D8
DP506,424368
AK5107,750457
KU501,706006
OS64,440BB8
9W77,8007DB
9W434,800BBC
CZ3603,780C3E
SU1434,4242A8
PC2002,4BB849
EY408,89612F
TK378,4BAB46
W51051,7335CC
MU5811,780E85
GS6558,780EF5
3U8850,780E53
CI578,8990AE
MH704,75020B
5J621,75816D
3K721,76AA76
ZH9488,780319
7C1384,71C049
NH1425,868316
QR601,06A02E
BR197,899050
MM15,86D1EB
BI422,895055
AY1970,461F9C
GB331,8003F0
HX237,780A1F
VN236,88812B
I51983,800C1C
EY622,8963F9
HX69,789210
AF755,39644C
UK720,800B70
SU1875,4242C2
QR402,06A0B1
SG511,800B81
AI776,800BFB
PC2082,4B906D
PC2421,4BB84D
6E207,800B37
CX450,7801DC
6E317,800601
ZH9862,780786
9W736,80043E
MI971,76B4E8
3K582,76AA6A
BC514,86803B
EK147,896456
SG657,800BCE
MF845,780D77
EY29,896143
Q9342,706259
MU586,781100
MI961,76B4E2
CZ8314,780C3D
9W711,8007C2
EK345,89617B
BR830,89906E
CA1948,7808C7
SV1452,7100B9
MU7362,781236
AF116,39BD20
KE622,71BD32
EK706,8963D5
5J966,75836B
CZ6322,780675
TK2246,4BA8EF
KA901,780162
AI679,800521
UQ2579,78104F
UO3898,780AC1
AI865,800BFA
UK786,800C0B
G8701,800C61
CA4530,78090D
I36601,73502E
UA143,A0EEEA
DL589,A0F815
A4203,155BCC
ER501,7609C1
CX2091,780A1D
AK562,750450
MM5,86D2FB
CZ380,780628
3U8759,780CEE
MU722,7800F4
3K818,76AA6F
G8424,80072A
MU5702,7812F5
UT509,4249C2
JH355,840568
CA1377,78115F
AI866,80052B
9W2491,800705
HD106,8470A0
JL61,868012
FM833,780EB1
IA161,728674
FH451,4B984F
3U8719,780071
JL958,851142
SU1145,155BDC
HX80,780A47
HU7182,7808A0
SU501,424304
MH741,750206
8L9670,78101A
ZH9902,780CFD
CZ6475,780BA1
KE828,71C001
SG516,800B83
VJ137,888096
TK7390,4BCC50
9W18,800486
WE327,885310
MU5500,780557
FZ432,89632F
UB2,7041C4
AI317,8005F0
NH996,8675B4
CA4198,7805C3
NX128,78041B
SQ7970,76CCCB
SU1304,424591
CZ3678,780410
5J607,7583B7
CZ3458,78046C
WE576,88530A
WY283,70C0F2
9W907,800547
JW917,842350
MI773,76CC45
SU5613,4248F5
UO183,780AC5
EK127,896194
GK355,841EBC
EK388,8963E2
SV311,710122
CX879,780A8D
MF8077,781194
VJ5320,88813D
CX433,780A4B
BA152,4005BC
CA1303,7806DE
CZ8271,78058F
TK2642,4BA9AE
QR456,06A1DF
SV1256,71007C
9W24,800B1E
EY290,89637C
0B169,4A09AD
UA851,A20433
SU205,4249FE
CZ3525,780F77
WY203,70C0CB
KY8326,780FBA
TK7140,4BCC56
CZ6247,7804C4
QR482,06A19D
PG805,8840F9
OZ174,71C018
CX495,780A58
BL521,8880EC
ME201,50005B
QR515,06A01F
N4123,424547
SQ866,76CDC3
QR291,06A09B
6E687,800C10
AK5323,750148
EY3,896341
FZ901,8963AE
FD313,880444
HU7928,780513
WY223,70C0DF
6E1404,800AF0
SC4845,780575
HU7872,7806E1
MU2060,7808ED
EK97,8960F9
FX5015,AC4D43
AY122,461F08
CA992,78076E
PR352,75823C
S71147,424559
SL8048,883293
KE915,71C082
LH681,3C6481
SU5685,4000F9
ZH9623,780FD1
OZ114,71C286
MH8200,750293
GF275,894075
MU5112,7802A4
NX136,780368
EK398,89611F
NL122,7609C9
NL796,7609A3
CA1923,780351
OZ271,71BF55
MU5817,781018
FZ559,89637B
6E223,8007CE
PC780,4B8E0C
XY893,424178
CA1517,780D7F
JL3512,8515A2
PC2380,4BB842
WY373,70C09E
QR665,06A136
XQ7112,4BCDD5
SL707,883292
NP81,0101A5
QR301,06A03E
FD541,880853
TK7126,4BA8D0
TK7236,4BCC67
BC773,8681B4
DL128,A0F541
TR633,76D031
CA182,78115D
K6669,70E049
CZ3214,780D3F
EK93,896306
DD4235,881051
JD5646,780E8F
BX794,71BA11
9W331,800C80
ZH9232,7802CD
3U8438,780072
IX351,80044B
BA80,406D79
BR272,8990E2
EY653,8964C0
SU1546,4242BC
9W2423,800505
FD3106,880C46
PK266,76099A
JL314,868DDA
5J951,7582B3
FZ791,8963B1
CZ3152,780C77
NL756,7609CB
CX885,780204
ZH9727,780B23
JD480,780FCB
LY295,73806A
TG476,880051
5Y8515,A4CF26
TG601,88003A
CX739,780A38
QR777,06A102
DL588,A0F51E
BK2963,7810B6
AI626,800412
PG217,884208
PR832,7583E2
Z2480,758224
CA4178,78028C
W63257,471F80
CX831,780201
C8872,4D0109
F3103,710129
SQ177,76CE96
ZH9442,780CFB
VN610,888051
G8205,800BB8
CZ3622,78046D
6E433,800BAD
JL82,8675BC
DD9210,881054
HY669,507C3E
XQ9192,4BCCB5
QR131,06A045
ZH9622,781225
HU7332,7808DF
SV1453,7100B6
NH257,86785A
MU5377,780CA9
ZH9095,780C6A
CA4326,780101
AC3,C02EC7
NH326,840888
JD5626,7804D5
AK649,7503BE
ET601,040132
6E533,80068D
JW953,845CE4
3U8884,78112A
KQ210,04C149
6E3645,800596
SC4754,780578
TK7114,4BCC66
G8246,800BFD
CX690,780AAB
G9564,8963BD
SV1434,7100BF
AI75,800C44
ZH9602,78044B
N4187,424371
JL667,85151A
CI153,8991A8
KK1007,4B8682
ZH9132,7BB129
PK350,760982
MH2611,75029E
CA109,7808C8
OS76,44007C
AK136,75029C
3U8878,7806AA
3U8670,7803E2
6E733,800C1B
EK505,89616A
CZ3106,7802AA
AK1521,75022B
TR607,76D243
GK304,846DC8
TK797,4BAAD0
MU539,78045E
HU7260,780FFE
VN1552,8880AE
QR960,06A03D
AI510,8004FD
CA1896,780B5A
6E548,8007CF
6E6616,8007E0
ZF2422,4242CD
QR1351,06A017
KN5828,780F54
MM456,86CF01
OV115,70C0F4
MU787,780932
SU6355,4CAAAD
GJ8682,780E55
FZ911,8962C1
3U8732,780B69
TK7046,4BA8D9
UA857,A13DE2
CZ8739,78051F
6E711,80054C
SG842,8005D6
6E329,800C17
CI221,8991C0
3U8358,780E50
MU2579,780E80
PC2890,4B8490
XY561,4241DA
PC2860,4B8E42
F3271,710128
8Y706,7584FB
CZ3282,780431
ZH9959,7805B5
JL877,8511A8
7C1105,71C261
EY435,8961A3
MU2173,7809C0
KA865,7801C6
SU1272,424597
FZ524,8964CF
AI645,800C48
ZH9051,7811A8
EY77,896488
TK7620,4BA8C3
SL825,8832B7
SU6369,424247
SQ974,76CE95
PR427,7583ED
SV794,7100B9
KE808,71C208
CZ3070,7809E8
I51564,800C57
WZ7702,14FA31
IJ1031,840587
U63001,4249CD
CZ6405,78088C
SU1301,155C14
6E176,8004B5
6E429,80068E
CZ6162,78030E
CX564,780127
VJ214,8880CD
SV1526,710089
NH67,868710
SQ975,76CE4C
QR832,06A044
5Y8278,A87876
AA169,AA86CC
G9734,896497
MU270,780D1D
BA168,406591
AK171,75043E
PC3191,4BA74B
JL2206,84C5A8
HO1056,780589
OZ702,71BC28
PC2751,4BB841
EY345,89625C
WE310,885311
EK9757,89631D
6W759,424578
HU7281,78129F
MM776,86D31D
SV1902,710086
JD5309,780693
PC2811,4BB84A
JL630,851848
ME217,748025
MU5735,7804AF
SC8445,780C8F
CZ382,781147
KK61,4BCDD4
UK994,800B4B
ME213,748026
WE272,885312
D7379,7501FB
CA937,78115C
KE901,71BE14
OZ798,71BC23
PR101,75830A
FZ8633,896469
NL774,7609A4
AI809,800C43
7G82,84C43E
NH181,86EB50
G8553,800C77
SV1023,7100B1
CZ6483,78010F
0B5161,4A09A3
CI7515,899051
OD521,75041C
MU5704,780B33
UK725,800B26
DZ6257,780CD9
EY91,89637D
TW271,71C069
AZ759,4CA936
8L9610,781315
PK301,760993
PC8391,4B8E19
WY245,70C0F0
RJ610,74072E
N4361,424370
PC2552,4BA749
KE735,71C027
NH256,8682F4
6E487,800B38
VN615,888022
G8157,800BF8
DL159,A641B6
QR1335,06A0B8
MU2092,7803EE
6E161,800C15
IT202,89902B
MU7148,7BB0B4
NH592,86D2AA
TK7136,4BCC2A
8L832,781051
9W546,800B1D
CZ3276,780C36
DP103,42436C
VN1270,888021
BR266,8990B5
8M601,704458
MU2212,780C02
CZ338,79802C
KE820,71BD40
KA213,78018A
OD8603,7503DA
CX162,780A98
N4229,424240
WY605,70C0C9
GS7463,7812BA
PG242,884212
FZ727,8964D3
6E6409,8006E1
MU9731,780465
ER521,7609C3
EK135,896209
PC2530,4B8550
VN1232,8880A3
WY261,70C0A1
NH290,86750A
QR634,06A031
AI409,8004A7
HX707,780AB0
G8220,800701
TK2807,4BAA66
JL633,861EDE
LJ78,71BF43
NH1088,8477C8
OZ722,71BF56
FD583,880841
FD331,88044F
MH2513,750201
CZ6975,781309
AI772,80053F
KE2,71BD84
JD5163,781134
WE282,88530F
AK101,750410
6E752,800BAC
VJ213,8880CC
JL816,86D9B8
CZ6971,780DAE
G8395,800435
FD3105,880C41
CI101,8991B5
JL648,861B06
BC716,868041
AF1321,392AEE
LY2521,738058
PC2120,4B8C6A
JL3537,84C5CA
9W333,800706
SU5602,4000FB
JD5588,7806F7
TG621,885154
PC2732,4B8E41
CI591,899045
FD377,880455
G8505,800C69
G8448,800538
RJ811,740737
CA1851,780FE2
HO1262,780533
UK816,800B6F
WY689,70C0CE
MU2297,780856
9W841,80043D
CX522,780A57
9W820,800AF9
EK205,89618B
