3U8856,78080B
3U8899,780CEE
FM9308,780981
MM922,86D2FB
6E48,800649
SV756,71004D
ZH9791,781007
MH182,750222
MU5468,780E3B
6E557,800686
0B1138,4A09AD
UA835,A20433
BC711,8681B5
AK5193,7501FD
SQ972,76CE4C
AF935,392F32
PS752,5082E9
MU2051,780C4F
NH841,86E822
TK212,4BA8D5
MU2269,780C03
CZ3998,79A06E
S730,42404D
LO724,48AD00
G8423,8004D0
WY261,70C04A
PR730,7580D6
MS684,0101B6
CX543,78018B
9W301,8007C0
ET453,040078
CI279,8991A5
5J241,7583A4
CZ6332,780889
MU7677,7803EB
UK747,800BD1
TK604,4BAB22
TK681,4BAB47
HY11,507C43
MU5106,780CAA
9W903,800B95
MU2176,7800AB
AI333,800734
KC903,4844B7
HU7367,7812EB
HU7845,780EFC
JD5541,780C0A
CA1487,780254
NS3203,780E68
CZ3119,780DB0
CA4325,780101
MU5406,780652
HU7251,780EF9
HY701,507C46
CZ8290,780CB0
OZ169,71BF73
MU2173,78122E
NH112,868E7C
LJ202,71BD61
CZ3901,780C76
MM105,86CF67
6E1408,800756
KA876,780239
ZH9719,780013
SU1217,42428D
6E846,800689
MU5466,78122C
QD675,70E04F
QG5602,8A064D
SV1440,7100BD
9W371,80065D
XQ5647,4BCDD2
GK504,840CD8
A3937,4690F9
UL177,77044E
NH938,861F1A
6J74,86CEC5
UA827,A1CA21
6E6228,800B38
CX469,780190
NH817,86D98E
D7372,7503E0
CA184,780CC0
AI583,800412
TG415,880017
NH664,867816
AK517,750452
SV1453,71004A
CA1453,78031C
CX256,780A67
R3549,155BCE
CZ6465,79A042
IO229,155BF6
MU515,780D19
AI144,800463
ZH9703,7807AA
VJ241,8880C8
KE786,71BD98
PS612,508272
RB533,778565
CI189,8991BD
SG438,80074D
CZ6301,79A059
6E377,503C62
G8334,800C77
HD132,841A6C
NH824,8622AE
9C8965,780F73
CZ3192,7804C5
6E958,800C16
UA136,AA7426
CX520,780A8B
BL787,88803B
NH847,86EEE4
JL3106,850E9C
UT356,4240EB
DL7,AB4FD4
AK5322,750148
BI635,895054
MU5335,7808E9
AK422,750239
DR6541,7810CB
HY55,507C3D
GS7815,7810FA
VN226,888059
7C1154,71C090
BR215,89902F
NL121,76098D
HU6297,7800D8
SV1903,710117
TR700,76BCC8
VJ226,88814F
CZ3624,780863
HU7632,780550
ZF773,424426
TR609,76D033
MF8247,7812C1
CZ6350,780DF2
SU1883,42434D
ZH9759,780617
NH857,86EBD8
IJ1021,84091B
NH471,8674C6
ZH9794,780B1C
AK1511,750287
MU5419,780FF9
VJ119,8880F5
CZ6073,78091B
PC863,4B8E1A
MF8075,780F1F
EK353,89644D
MU537,78045E
XW871,886042
SU1562,424300
GK104,842250
CZ340,781032
6E1713,80064D
SG11,800BC6
S71142,424559
AI852,800BD4
FD643,880442
AK505,75043F
CZ8744,7802F1
AE1822,899046
CX450,780170
CZ310,78036F
CA1308,781160
MH70,750256
DF521,780837
NH386,8464B0
MU2325,780502
5J703,758227
NH1867,868428
TW667,71C067
ET309,04012E
KA858,7801B9
P9400,
UA875,A1FCC5
BC712,8681B2
CZ4038,7809E7
7C1308,71C064
AK236,750149
VN407,88809D
GK610,841400
CZ8641,7803B0
AK855,750464
FM9190,780BA8
KA950,780A5A
OZ363,71BF36
FZ70,896335
BR712,899039
HD18,8404F4
AK5109,750458
6E964,503C61
UA888,A1C82A
FD850,88044F
7W7051,50822E
MU701,780DE4
BR801,8990DA
ZH9194,7811AD
CA143,780E21
TV9862,780DB4
FM5337,780957
3U8054,78067A
AF460,3965A5
CA439,780D84
KC975,484127
CA47,7812DD
G8530,8007F6
7C1106,71C088
BR177,8990D0
CZ6077,78068A
MU2360,79A011
ZH9487,7810E7
CA856,78037B
CZ6527,7809B2
G8327,800BF8
NH956,862248
JL31,8674F0
CI111,8991A9
AI213,80057A
CZ6411,7805FC
CA1803,78103D
AK5301,750272
HO1097,781251
AK5092,7502BC
MM232,86D295
ZH9966,780D00
JL506,868DB8
6E477,800B76
UL307,770451
NH91,867592
MU2060,780856
AK113,750410
JL3523,84BB96
9C8845,78060B
9C8754,780CE1
HU6128,78000A
KA692,780A93
OK251,49D0BD
CZ3693,780D0D
CA4305,780DFD
SQ402,76CE4F
G8134,800BF3
SV1291,710113
SL824,8832B1
CZ3531,780995
EU2786,780D6B
BL484,88803C
NH764,86D310
KU205,706005
HO1255,780F6B
GA883,8A0479
CZ3194,78062C
9W615,80015E
BR867,899072
PO7680,ABC201
3K512,76AA73
CX615,789204
I5715,800B43
NH571,86960C
CX785,780133
BR255,8990CD
CA1901,7812E2
MH2807,75020D
NH296,86E518
GS7545,7800A5
MU546,780851
QR920,06A075
FZ325,8962AB
FM842,780E6E
MH2646,750214
S71160,424048
ZH9723,780EB9
S7908,424287
NH210,86D9F4
OZ541,71BE34
MU2569,780F6C
QR626,06A022
DL121,ABD691
AK5745,750465
W66407,471F4F
GA895,8A05AB
MK747,06002A
6E298,8007CD
VJ448,8880CD
KC881,4844A2
6E266,800B3A
CZ3743,7809FD
CX174,780193
MU9738,780B18
7L74,4243FA
MF8582,7805E0
CZ3213,780C77
CX365,78016E
MF8229,7805C2
E3856,8838EE
CA1491,780762
CA705,78075F
BX321,71BF31
SG56,800C2B
FZ333,89648E
6E312,800BDF
CA929,7808A9
MU5105,781335
MU7338,79A062
BA18,40688F
KN5209,780057
G9563,896413
BL483,888145
PR507,758341
CA1854,780E1D
JL773,86DD08
CZ3112,780AF5
NH812,861EB4
JL957,8514B4
VN611,888075
NH1267,86D6C8
JL2163,84BAEC
TG926,885179
HU6149,780586
CI712,8990B0
CX736,780A2D
BR892,899055
CA103,780647
UK815,800B26
U6562,4245AE
CZ396,7805CC
CZ3625,780D51
6J24,86CF2B
GS6552,780C6F
3U8799,78112A
TK6489,4BB14D
OZ111,71C282
KN5225,7BB0B6
6E797,800B96
6E6929,800BF5
BA27,406B05
CZ3226,79A02D
JL629,851C64
NH209,86E800
CA4107,7802D4
3U8548,780B67
SL751,883294
5J149,7583E8
KK1185,4B8682
JL478,851BBA
JL421,86DCE6
BI613,895055
6E95,80054E
AA186,AAF828
VN384,88813A
G8116,800C34
SQ856,76CDA9
CZ3608,79A054
F3101,710128
SU6198,424964
MU535,780D94
G8805,8007F7
BA236,400A66
UT580,42493C
TW251,71C300
CA9636,780698
GK109,846A34
HY512,507C4D
B2836,510035
MU2250,780D1A
ZH9626,7805E2
TR155,76BD45
LH726,3C6518
JL723,86E4FC
IX443,80044E
AK733,7503EC
6E759,80068E
MU2041,7809BA
SK964,478854
CX718,7801B5
MF832,780824
9W70,80015A
NH644,86EF02
KA487,7801C1
BC172,8681B7
JL3105,850DAE
UK979,800BD2
BK2761,78127C
PS518,5082E6
6E334,8007DD
SU1479,424332
8L9991,78055E
AA127,AB1839
CA4456,7803AF
HU7061,780459
NH87,86D986
JL3513,8518F2
WE244,88530F
O36876,781054
IR407,7324A4
ID6017,8A0434
NZ99,C820D4
TK765,4BAA03
B8195,780BC3
8Q4864,4BBC4B
BK2897,7806EB
TK7079,4BA8DA
LO6508,48AE02
CZ3159,78046D
RS701,71C255
HD127,846D0C
6E188,800C15
TK377,4BAAD5
T5717,601832
EY314,89612C
KE122,71BE13
SV1295,7103DB
BR790,89904E
PC2831,4B9062
5J930,7582E4
T5901,601839
6E904,8007CE
NH1188,862A60
9W2536,8001CB
U6659,42429E
BK2894,780F4F
MU2646,78078E
JW908,841FBC
VN1557,888053
MF8033,780EAF
GK302,84106C
CZ349,7802AB
TG323,885157
WE252,885313
6E916,800C75
OZ522,71BD79
5J887,75816D
5J384,758109
SG488,800B83
JL2153,84B79C
CA153,780580
JS272,7277A8
PN6364,780E9B
FM9558,7800F6
VN347,88809A
KA728,780A82
SQ8898,76CD62
CZ8361,781124
LJ282,71BF86
JL575,851958
CZ6403,78066F
BG84,702066
AK881,7500E4
VN331,8880E3
DZ6227,781130
CI119,8990AB
JL772,86E4DA
CI934,8991B1
TW672,71C220
CA4513,78060A
OZ222,71BF91
A3983,4690FA
HU7231,780E2B
MU5091,780C5F
TR903,76D241
AK648,750466
7C2601,71BA13
8L881,780DC0
6E441,800465
CX347,780236
NH231,86CEF4
SU1167,155BD1
GF765,89402E
KU103,706059
G9549,896486
MF8056,781114
PC2099,4B906D
MM22,86CF01
GK624,84B5AC
SQ671,76CE91
SU1275,424303
AK5879,75002A
CZ3121,780C7A
ZH9783,7811A9
TG649,885045
CA453,7808AA
VN427,888091
G8395,8007B6
MP8341,4841C5
ZH9643,780318
CZ3495,780CAF
VN357,88807A
ZE882,71C035
TK7077,4BCC52
9C8921,7810E6
PN6207,780D45
MI601,76CD8A
NH579,85DEE8
LH796,3C4B2C
AK204,75002C
UA893,A2CB33
SC4635,780FF4
3U8830,780C28
CI193,899042
SG511,800B81
HD21,846250
DY7206,478FCC
SV1320,71040A
9C8659,7805E9
CA1330,78103E
KE138,71BD52
HM261,07403B
NH1181,86DDF0
UA166,A1D63D
EK9882,4D012B
SV1231,7100A9
NH212,869210
9W333,800C54
CZ8467,7807C2
DL158,A65092
ZH9743,7802CE
JD5779,78085B
TR305,76D24C
FM9124,780E6F
KU203,706025
AA176,AA7F5E
B7110,899076
UT350,42425E
JW303,841500
CA777,780FDC
UL314,77058C
8L9848,780E31
PG232,884208
KE926,71C211
NX110,780D4A
3U8883,780CEC
FD588,880454
GF704,89405C
3U8702,781078
ZF7728,4249D3
CZ6891,780803
GX8925,7806E8
CX780,780A94
NX601,78033F
WE171,88530D
PG283,8840F5
TK7265,4BCC4A
DV732,503C71
5J964,75832A
GS7570,780BFE
CZ6955,780B0F
KA810,780181
6E496,80051B
PC3160,4BA749
MU2078,780C05
VS206,4072EA
9H8366,780B98
NH1863,86E4A6
TK2851,4BAA56
AI806,8003E6
NH462,8682F4
AI348,800735
CZ6655,7800FE
MU9735,7804AF
NH922,86226A
NP141,010116
JL736,86E40E
BX795,71BF61
FD3242,880C46
MI774,76CC48
FD516,880850
GF182,89406D
KE902,71BE19
CI752,8991B3
CX494,780A58
MU5129,781108
BC304,8681B4
GJ8851,78125B
TK7439,4BCC2B
EK802,89630D
OZ1135,71BF54
PG711,8840F8
CA1041,78007E
CZ6276,79A06C
MF8365,780B64
TK693,4BAA8B
G9541,8963BF
7C2001,71C301
PK211,760993
GF9014,894029
9C8810,7811B2
KA820,780125
AI102,8004DF
MU2252,780935
ZE612,71C264
OD520,750406
IR326,7324A5
CI602,8991B0
CZ3037,7808C1
MU5265,780FED
9W466,800554
KK1549,4B8684
DV710,6831D3
PR435,758368
ZH9403,780719
7G80,841442
9C8840,7807B2
ZH9059,780EB8
CZ6970,780D3F
9C8832,780D4B
WY298,70C0F2
MM312,86CF89
CZ6647,780268
QR8775,06A192
U6651,4242D0
SG497,800BCA
WY818,70C0CE
OZ795,71BC15
NH923,861F5E
JD5605,781297
JL913,86EF8C
SL737,883290
6E879,800718
VN522,888124
GS7845,7810B2
TG641,885046
CI121,8991AC
RL8606,42459C
NH624,861B64
G8388,80051E
QR845,06A042
UL121,770592
JL2123,84C258
BA118,40621D
6E393,800467
I5778,800B09
MF8073,780EAD
JL32,86D68A
PS374,508302
VJ303,888156
HU7169,780DD4
SV933,4B8466
ZH9209,7806AE
AY88,461F4F
CA8359,7800B9
ZF5428,424561
9U578,504E40
JL312,861AE4
BR138,8990B4
CZ6199,7803CC
PR339,758335
7C1101,71C295
6E344,800466
KN5201,780D62
TG609,8850B4
KE660,71BD40
6E695,800B12
ER520,7609C4
UA837,A21679
CZ303,780708
AI682,80047B
FD358,88044A
LX161,4B18FF
EK222,896451
TK608,4BAAD4
AC11,C0104F
WY212,70C0A2
TW202,71C047
DD7502,881050
UO182,780AC6
NU42,84183D
SG124,80070E
JL9,867F8A
3U8553,78112D
PR831,7583E2
NH215,86E844
FD303,880846
E5314,01013B
SC8871,78111E
BC10,8681B1
KE897,71BD84
G8173,80072A
KU303,706028
CA707,780CBC
CZ3537,781146
PR2959,758081
JL904,868DDA
ZH9950,7810E8
PC3017,4BA745
CZ602,780BD9
AY42,461F52
HO1186,780E39
XY517,4241A1
JL92,86D90E
GA873,8A0242
JL256,851CCA
ZH94122,78044B
U63001,4249CD
VJ273,88813E
TK2819,4BA9AC
HU7272,7808E0
SV1019,71007F
CZ6377,7800B2
VN943,8880C5
UA38,A2A3AF
BK2852,78044D
JD5517,780084
CW844,505C6A
GK155,84715C
BL593,888044
CZ3270,79802C
MH2661,750282
UB8027,7041C3
CV417,4D012C
ZH9860,7807AD
CA976,7811A2
6E179,800719
SC4096,780578
9C8727,78067F
XJ701,886282
CX504,7801AF
UL129,773645
UA196,A43EED
AK521,750413
HY3715,507C45
MU525,780FEC
AA27,AB5257
AI282,8003E5
AK139,750441
SG185,8003AD
CX503,780173
TG618,88003F
UT574,4249AF
VJ139,888133
9W653,8006FA
TK802,4BA9AA
SC4969,780DED
9C8534,780CE0
6E205,800624
9W2383,800C81
KC851,4844BA
TK121,4BA994
TK7113,4BCC29
NH775,85D7C0
NU36,86EFAE
AI412,800B44
CA4115,780C43
AY74,461F49
AI3450,80053D
JL44,8682FC
TK899,4BAACD
FM885,780D55
CZ6228,7805FA
VJ811,8880EF
KC907,484356
9W743,80065F
S7503,4242C0
JW601,845CE4
SL706,88329A
6E367,80068F
EY249,896398
WE333,885312
SV1511,7100A6
7G44,842292
OZ183,71C265
FZ53,8962B7
MU563,7803BF
6E859,8005F7
CX509,7801DC
CZ8327,78088D
RJ810,740737
TK7055,4BA8E6
MH67,750262
FD761,880859
ZE631,71C053
SL399,8832AF
JD5531,781298
AI625,8004FD
SC8726,780ED3
7C1301,71C263
EK772,89610F
VN227,888082
NP167,0101B2
VJ825,8880B7
LQ667,70E05F
SG741,800407
JL668,851F4E
GA856,8A047A
FM9220,7811D1
ET611,040127
CZ6311,781097
7G18,8417D6
ZH9911,780306
ZH9167,780787
SZ201,48435D
JT2621,8A03F7
CZ3534,780CB2
QR943,06A106
G8551,800C61
G8245,800C60
NL678,7609CD
QR8112,06A0DE
MF8290,7802EA
NH224,867FA4
TK2023,4BAA63
CI165,899084
VJ915,888096
CZ6511,78066E
6E63,8007E1
JD5565,781299
CA1367,7808CC
NH325,841344
JL407,86E474
SQ32,76CDB0
TK7149,4BCC2A
TK7199,4BCC53
KE811,71BD60
UK943,800C0C
NH58,868710
AK5205,750106
6E634,800B14
CX475,780AB7
NH232,86D266
SV227,71002C
PG241,884213
7C1309,71C089
KL862,48436E
DV725,503C79
NH608,86DC90
AA281,AB4E94
VN1200,88808B
YE5011,508380
CA108,7809A4
9W356,8076C4
AK5746,75010A
BR5,8990DE
CZ6197,7809E2
AI550,800579
FM9187,78065A
IR810,732443
TW9325,71C098
TK2237,4BAA5A
AY80,461F07
KQ205,04C149
CA1530,780648
XJ613,886283
DD7808,88104B
CZ6957,78130B
VN228,888062
6E502,800B92
VJ886,8880D9
CZ3793,780771
SG130,800B80
ZH9021,780E10
MH5105,750264
KE613,71BE36
6J56,86CF09
SC4975,780B07
9C8919,780E42
MI771,76CC45
TK7059,4BCC66
KC977,48448D
KA440,780184
VZ305,885961
BS315,702077
QR8613,06A1A3
NH590,86D1DE
SU1185,43BE8B
SQ973,76CE64
NH926,84B750
MM726,86D31D
MU5825,780E82
IX383,8003F1
DD3211,881051
ZM1025,6010B7
HD65,845EBC
PC2743,4BB84C
MF851,780B65
SU1284,42442A
NH774,8626CC
KE724,71C011
JL2464,8511CA
FD330,88044D
YK741,6010B0
RU492,4240B6
UT560,4249C5
NA10,0101B3
AK170,750419
CZ6609,780C3F
AY102,461F4B
3U8918,780DDB
PK302,760995
TK7069,4BA8CF
NH63,8686EE
5J814,7582E7
QV922,70801B
CZ330,78070A
UT364,A10A94
JL3510,8518AE
CA1335,780635
U62970,424278
AA263,AAF47D
JL2205,84C5A8
QR843,06A19E
NH289,8675B4
JL413,86E496
CI702,8991AA
HX69,780AC7
8L9706,78055F
GS6557,780EF5
CZ3404,7805F6
3U8839,7805EA
FZ819,8963B5
MU2085,78045D
MM104,86D1EB
FD509,88085A
BX181,71BF29
VN512,88812D
7C1903,71C261
NH11,869254
SQ619,76CE61
AI466,80053E
KC952,484339
NH589,86D2AA
ZH9956,780788
Z238,758395
KA380,780A81
PR502,7583ED
HU7058,781001
LH741,3C4AD9
AY1970,461F9C
FD376,88084C
FZ147,8963BA
S24081,8001E6
NH741,86D334
NH2158,861BA8
9W346,800B15
9W276,80065E
QR8604,06A191
NH9,8691AA
AQ1056,7811A1
SG831,800700
CA405,7806F0
CA1362,780005
TK717,4BB162
FD421,88044E
W5100,7335A2
MU512,7800F1
CZ6981,780FD4
SL8031,883029
VN311,8880F8
JL692,851C86
TK793,4BAA62
NH842,86EE7E
AA289,AAF0C6
HU7461,7811F7
KC210,4840DE
TK310,4BAA04
N42477,42433E
EK658,896212
UK970,800B27
TG623,880045
CA1315,780010
G9181,896371
FM9197,7809B3
TK7411,4BCC67
HX216,780A99
IT8210,89902C
9W763,800486
UA8,A2A2E3
UO1370,789207
GS7857,780C31
CX254,780A16
FD3184,880855
ZH9932,78056D
I51452,800C57
DD7406,88104F
JL12,86D9DA
CZ8549,780BCA
BL656,888147
CZ644,7809DF
UA89,AABA9A
SV1527,7100AB
GT1014,780539
PG272,884204
BI513,895051
W5112,7335A3
CZ3958,780689
NL705,76098A
LJ232,71BD63
DR5327,780C11
A9695,51407D
IR719,7324A6
LO152,48AE80
MU552,780F3C
FD762,880858
AK142,75033B
CZ3116,780BA3
SG922,4BD155
OZ332,71BF89
CZ3125,7805F9
6E226,8006E1
6E642,8007B1
GA898,8A0535
BC504,8681B6
Y97055,73306C
NH211,8694FA
JL508,84011D
HU7821,780C47
VN1233,888055
TG645,880044
TK2216,4BAAA9
WE160,88530B
BA8,406948
ZH9138,7BB12D
9W2369,8001D2
G8465,800B0B
BR181,8990B1
MU5473,7808F0
CZ6152,780097
BC173,868043
5J379,758322
6E178,800B72
NH776,867D00
HO1648,780422
TG671,887802
ZE602,71C269
AI813,800C43
SV3803,710049
TK2454,4BAA4B
HO1218,7810EA
BC713,8681BA
CX885,780A3B
CK287,78037C
9W355,8007C3
6E726,800602
GK509,845F78
VN117,888027
T5701,601834
9W414,800547
NH7,867FC6
MU205,79A061
UW9947,798006
KE130,71BE33
SG21,800C2A
HU7874,780432
6E6523,800B3F
3U8882,78058A
AK1207,750286
9C8609,78121E
SV562,710138
EK375,89647A
ZH9842,7808B3
CA4329,780DFA
CX134,789203
9W465,800B65
JL805,8511A8
3U8325,7806AA
JT2619,8A02E8
UL187,773644
BR662,89908D
KY8241,781245
S7545,42455B
AK183,75043C
NH173,868EC0
CZ3260,7802DE
KE698,71BF06
G9556,8963CB
ZA214,70E05B
NS3285,781169
OZ1075,71BF93
AI706,8001AB
EK433,8960D4
JL2006,851936
QR965,06A0B5
FU6555,780EEE
HU7208,780E98
NH927,861BCA
EK967,8960D0
QR8444,06A080
XY14,4241B0
NH1693,86E184
ZH9942,7805E1
LO98,48AE04
CK222,7805DD
GA875,8A03C3
NH377,862338
GS6531,781201
TG643,885105
FZ175,896469
9C8696,780928
EK161,896318
SG479,8006FC
ZA4779,70E05C
NZ97,C8236E
UA2571,AA7427
BA161,406F72
JD5536,78002F
NH554,86D222
MM455,86D273
UK752,800B23
TW278,71C086
CZ3074,780370
G8381,800C69
9C8525,78067E
AI678,80051F
UA32,A0EEEA
KA804,7801A1
PC3060,4BA747
EY943,896441
HU7742,780E2A
CX879,780A38
BK2753,78127B
UL403,773600
EK345,8963DD
TG629,88003D
KE648,71C026
EK53,89617A
KL462,48418B
CZ6357,7802EE
3U8140,78112E
OQ2329,780B89
CX118,780AAB
NH864,86D6A4
TK7480,4BA8CB
AQ1039,780D02
9W433,8001CF
3U8932,780510
SV3800,4BBC65
WE281,885301
UA79,A1CAC9
CZ6300,79A02C
6E1202,8007B3
UK963,800B6F
KC932,4844A0
KE256,71BE23
HU7477,7811F2
XY139,4247A9
AI509,800521
NS3264,780026
JL434,850D8C
I5789,800B0A
CZ8568,7809F8
EK337,89620B
6E782,800AF0
6J38,86CF91
OZ3365,71C279
KE880,71C244
TP1230,4951B7
CX506,780A0C
CZ3061,780261
EY140,896353
G9459,896400
9C8952,781086
AZ809,300066
FD3130,880444
TK2220,4BA90E
MF823,780B40
IT372,899028
IT237,899025
MU5275,7808ED
MU5404,78069B
RU486,4243C1
JW913,846B34
9W412,8000FE
MU7138,7804B4
ET625,04003A
VJ275,8880C2
GF61,89405A
WE270,88530C
7G47,84C43E
BR191,899085
UA35,A2CA5D
FD319,88084A
CA151,780632
KE776,71C223
6J70,86CE81
6E599,800BEC
3K762,76AA66
9C8663,780551
IX194,800396
FM9538,780300
MS901,0101BC
AI143,800B61
FM9360,7BB085
MU2164,780C50
LH8386,3C70C1
CZ616,7807DC
OD1007,7502DB
MU7094,780EDA
IX345,8003B0
AC27,C01734
KN2385,781163
JL293,851848
5J5055,758328
SU1239,424329
CZ8689,781098
NH1173,85CD04
PR301,75833C
CZ6183,780F11
GA871,8A05AE
3K698,76AA6D
CA8972,7804CD
DK2553,40081B
5J347,7583A5
6E827,800BA7
Z2943,758502
JL2084,8686B2
EY102,896405
ZH9805,7809D7
EK819,896219
TR157,76BD42
UT498,4242AF
BY926,400A60
6E196,800B2B
CA1313,781008
PR454,7582F9
CA1986,7808C7
KE250,71C252
MF8101,78110E
FD651,880446
CZ6919,780B0D
KE529,71C075
SV784,71004B
G9145,896401
Z2354,75853A
VN582,888093
EY229,896255
EY150,8962E5
OZ201,71BE41
AK24,7503BE
MU237,780852
SC1153,780DEE
SG422,800BCC
3U8948,780CEA
JL2184,84BACA
TK7107,4BA8CE
TR659,76D036
FD403,880857
VZ940,885962
QR8406,06A2C9
UO870,780AB3
HX658,780A6D
SU1858,4249B4
CI904,8991A0
HX618,780A5E
KA803,780128
NH1750,85D42C
HU7116,F80DD6
KY8254,780E95
EK805,8963F1
TK737,4BA995
VN530,8880E4
CZ8355,780999
LY347,73806E
CA412,7804EA
PR112,758340
MU7636,780E81
DL199,A0F7E2
TG646,885225
CZ6415,781096
CZ3097,78114A
AK529,7503B3
J9560,451D87
XY122,424187
TK337,4BAA72
CA4124,780699
HU7062,780E2D
FM9304,7806F4
JL841,850DF2
QR1397,06A0B0
QR233,06A089
6E321,8007CF
LJ238,71BD57
VJ961,888134
XY81,42414D
G52865,780E6D
PC2139,4B906C
SU2797,4249B6
RJ623,740734
DL295,A97C65
QR8201,06A141
6E366,800597
PC2797,4B8E16
AC7,C01A61
CA130,780BF4
6E6361,8007DE
ES181,89408A
FM833,780D54
WZ258,42435E
5J565,7583A1
BR8,899080
MH2574,750211
TW283,71C253
XY605,42417F
6E3492,800C40
MS666,0100A5
EU2236,780EB6
XJ606,886286
JH211,845B9C
G8802,800538
9W629,80067C
SQ181,76CF26
JL43,867F68
N42484,424372
LT4303,781118
MU9724,780BAC
9C8590,780F2B
BC590,868042
PC2061,4B8533
FD636,880449
AH4623,0A0045
TK7260,4BA8D9
9W250,8001CE
MH787,75027B
EY215,896325
JL374,851230
XY401,424156
NH217,86E79A
HX254,780A5D
AC63,C02ED9
HU7091,780BE3
NH853,86E7DE
SV703,710105
JD5524,780693
CA1894,7808A7
QF61,7C531F
ZH9442,780B20
MU9646,780C51
IR721,732542
EK141,896184
MU2019,781043
9W973,8001CC
ET3808,040060
AK127,750440
Z2241,758224
AI126,8004E0
CX739,780A35
CZ642,798042
9C8672,780D74
MU5152,7804B2
TG614,88516D
5P5652,489C07
E37662,8838EB
CZ3560,78062A
JL567,86EF84
TV6034,7806DB
MU5292,7805EF
BX115,71BF23
NH171,86D244
WY346,70C0C1
N8404,ACB84D
EK27,896217
AK538,75015A
8L821,78101C
TG664,88003A
I51721,800C1C
BC505,8681A8
TG319,885154
HD20,840593
CZ3702,780FC6
CZ3169,7BB0EA
RJ705,740822
PA410,760481
PC1911,4B8750
JL236,851CA8
WE132,885303
NH576,8638B0
9W458,800754
KE32,71BF82
CZ6345,78074A
MU5407,780D1F
PC3010,4B8E10
SJ1184,8A05D9
NL164,7609A4
CZ6958,780C35
PC2575,4BB84F
S24378,800173
JL280,850E36
UT536,4249E0
Y87508,7804A1
DY7210,479A4D
UT438,A045A3
FX5311,A00CA4
SC1182,780D5B
FD177,880456
6E5013,800717
9C8928,78061F
6E375,800BB5
OZ352,71C074
CZ3466,780487
AK8742,7502CA
PC2880,4B9061
CZ3514,78010D
VJ863,8880DC
OZ157,71C267
ES222,894089
MU5596,78048B
JL628,86222E
TG561,880016
MU582,780C00
FM9504,78005D
LH691,3C648A
HU7862,780463
FZ717,89637A
QR7,06A2B2
TG202,880051
SU5628,4000F9
IX243,80044A
CA415,798039
PC786,4B8670
RJ613,740735
AI460,800401
ZH9952,780E0E
SB801,3A2644
EK191,896213
LY611,738064
JL435,851580
VN631,8880A1
KE2708,71BD73
3K515,76AA6C
KA760,780A7E
MU9612,780855
EK795,896309
FD3161,880458
6J76,86D1F3
7C1602,71C206
EY239,896429
QZ154,8A02B0
9W406,80046B
TV9881,780BE0
HD23,861AFE
CZ6177,78025F
TK2826,4BA901
PC2810,4BB845
AI671,800413
LH721,3C65AB
MI613,76B4E4
MU2155,780659
6E389,800BE0
U62642,424615
ZF1642,42458E
CI161,89901B
NH252,86D594
UO601,780AC1
CA1415,7BF013
SU1965,42434B
MF8491,780F57
TK813,4BAA85
9C8976,780CE2
I5541,800BEA
JT810,8A02F1
EU2218,7810ED
ZE618,71C029
9C8918,781084
TK2630,4BA906
PS778,508377
JL720,8621EA
SQ637,76CEE8
QF79,7C5323
TR979,76BCCB
SG272,8005D5
MU745,780ADD
HO1140,780E38
HO1660,780309
QR221,06A08C
JL515,86EF00
CA985,780B44
I51568,800B40
QR831,06A142
BR282,89904A
5J793,7582B4
JL610,85120E
CZ6361,780C36
QS1287,49D2B9
QR231,06A091
CA1404,780ACF
ZF6324,42425A
AI922,800C44
EK17,89618D
CA1428,780FDF
NH982,845DAA
9W759,800B1D
SG813,800BC9
CI157,8991AB
VN230,8880F6
S7555,424956
MU590,780504
NH848,86EB50
TG628,885176
HU6291,781061
CA1877,780B5A
NH1,867F82
MH358,75031A
GF155,89402D
6E823,800C1F
DD4234,881054
AI584,800412
UA7,A43667
LN253,018085
PR101,7582F4
8Q47,4BBC4D
AI635,800544
Y7402,4249EF
HO1112,781252
CZ6949,780296
BR708,8990CB
AM91,AD7633
7C1902,71C062
KY8340,780FBB
TK97,4BA934
JL3,868012
AC25,C01049
VJ771,88813B
NH90,86E48D
KE24,71C250
NH62,8686AA
CZ6059,7802AD
EK35,8960DD
MF8441,78047B
AK5104,7502B9
EK39,896482
SL708,883292
Z92000,6831F5
EK971,8960D5
CZ3022,7807C6
MU2206,7804B9
ID6897,8A0635
JW873,840DD8
SQ878,76CE66
J9164,70620C
CA140,780D8A
MU276,780CA6
SV566,7100B1
KC972,48433C
B8330,46890E
FZ709,8962BD
ZH9413,7803B6
HO1180,780D90
NS3312,780C0D
EK945,89611D
CZ3052,7807DB
UA807,A31961
HX670,780AA6
5J860,7583E7
MU5107,7800F4
SZ9111,515309
NH696,86E0F9
ZA473,E47E75
VJ252,8880F4
NH2154,862DF4
PS5024,5082F0
SU1369,424378
6E212,800469
EK185,8963DE
9C8883,780B57
CA733,7800E4
CZ6504,781099
RL8554,424311
CA1671,780E78
BC765,8681AB
CX536,780127
NH177,86EEC2
PS716,508366
QR293,06A027
SC1170,780F6A
AC29,C01A7D
MU586,780F39
HX772,780A12
NH796,868EE4
EK637,89611E
5J857,758226
WE688,885315
CA4246,7808A6
XY5,42416F
CI731,8990A9
6E165,800625
TK7422,4BCC56
CZ304,780B11
AI866,8004D6
6E464,800627
CZ6391,780BD2
